subject,trial,condition,accuracy
18,118,13,0.5384615384615384
18,119,5,1.0
18,120,9,0.4444444444444444
18,121,13,0.23076923076923078
18,122,9,0.5555555555555556
18,123,5,1.0
18,130,5,1.0
18,131,13,0.23076923076923078
18,132,5,1.0
18,133,9,0.6666666666666666
18,134,9,0.5555555555555556
18,135,13,0.3076923076923077
18,136,5,1.0
18,137,13,0.23076923076923078
18,138,13,0.3076923076923077
18,139,9,0.1111111111111111
18,140,9,0.5555555555555556
18,141,5,1.0
18,148,5,1.0
18,149,13,0.23076923076923078
18,150,9,0.2222222222222222
18,151,9,0.4444444444444444
18,152,13,0.46153846153846156
18,153,9,0.6666666666666666
18,154,9,0.4444444444444444
18,155,5,1.0
18,156,5,1.0
18,157,13,0.3076923076923077
18,158,5,1.0
18,159,13,0.3076923076923077
19,4,9,0.6666666666666666
19,5,13,0.23076923076923078
19,6,9,0.2222222222222222
19,7,9,0.6666666666666666
19,8,5,1.0
19,9,5,1.0
19,10,13,0.15384615384615385
19,11,9,0.4444444444444444
19,12,13,0.46153846153846156
19,13,5,1.0
19,14,13,0.07692307692307693
19,15,5,1.0
19,22,9,0.5555555555555556
19,23,9,0.6666666666666666
19,24,5,1.0
19,25,13,0.23076923076923078
19,26,13,0.15384615384615385
19,27,13,0.38461538461538464
19,28,9,1.0
19,29,5,1.0
19,30,9,0.3333333333333333
19,31,13,0.15384615384615385
19,32,5,1.0
19,33,5,0.4
19,40,13,0.6153846153846154
19,41,13,0.23076923076923078
19,42,5,1.0
19,43,9,0.7777777777777778
19,44,9,0.7777777777777778
19,45,9,0.1111111111111111
19,46,5,1.0
19,47,13,0.5384615384615384
19,48,13,0.38461538461538464
19,49,5,1.0
19,50,9,0.8888888888888888
19,51,5,1.0
19,58,13,0.5384615384615384
19,59,5,1.0
19,60,5,1.0
19,61,9,1.0
19,62,9,0.2222222222222222
19,63,5,1.0
19,64,13,0.15384615384615385
19,65,13,0.38461538461538464
19,66,13,0.5384615384615384
19,67,5,1.0
19,68,9,0.7777777777777778
19,69,9,0.4444444444444444
19,76,5,1.0
19,77,9,0.5555555555555556
19,78,13,0.3076923076923077
19,79,9,0.2222222222222222
19,80,13,0.3076923076923077
19,81,9,0.6666666666666666
19,82,13,0.6153846153846154
19,83,13,0.5384615384615384
19,84,5,1.0
19,85,5,1.0
19,86,5,1.0
19,87,9,0.8888888888888888
19,94,5,1.0
19,95,9,0.5555555555555556
19,96,13,0.18181818181818182
19,97,5,1.0
19,98,13,0.07692307692307693
19,99,9,0.6666666666666666
19,100,5,1.0
19,101,13,0.5384615384615384
19,102,13,0.3076923076923077
19,103,5,1.0
19,104,9,0.8888888888888888
19,105,9,0.7777777777777778
19,112,13,0.5384615384615384
19,113,9,1.0
19,114,5,1.0
19,115,5,1.0
19,116,13,0.3076923076923077
19,117,5,1.0
19,118,13,0.5384615384615384
19,119,9,0.7777777777777778
19,120,13,0.38461538461538464
19,121,5,1.0
19,122,9,1.0
19,123,9,0.8888888888888888
19,130,13,0.3076923076923077
19,131,5,1.0
19,132,5,1.0
19,133,9,0.6666666666666666
19,134,13,0.38461538461538464
19,135,5,1.0
19,136,9,0.7777777777777778
19,137,13,0.46153846153846156
19,138,9,0.4444444444444444
19,139,13,0.6153846153846154
19,140,5,1.0
19,141,9,0.625
19,148,13,0.7692307692307693
19,149,13,0.23076923076923078
19,150,13,0.3076923076923077
19,151,9,0.2222222222222222
19,152,9,0.7777777777777778
19,153,13,0.3076923076923077
19,154,9,0.3333333333333333
19,155,5,1.0
19,156,5,1.0
19,157,9,0.7777777777777778
19,158,5,1.0
19,159,5,1.0
20,4,5,1.0
20,5,5,1.0
20,6,5,1.0
20,7,9,0.7777777777777778
20,8,13,0.38461538461538464
20,9,5,1.0
20,10,13,0.23076923076923078
20,11,9,0.7777777777777778
20,12,9,0.2857142857142857
20,13,9,0.8333333333333334
20,14,13,0.07692307692307693
20,15,13,0.38461538461538464
20,22,13,0.46153846153846156
20,23,13,0.3076923076923077
20,24,9,0.7777777777777778
20,25,5,1.0
20,26,5,0.6
20,27,5,1.0
20,28,5,1.0
20,29,9,0.5555555555555556
20,30,9,0.3333333333333333
20,31,13,0.07692307692307693
20,32,9,0.5555555555555556
20,33,13,0.5384615384615384
20,40,13,0.07692307692307693
20,41,5,0.8
20,42,9,1.0
20,43,13,0.3076923076923077
20,44,5,1.0
20,45,5,1.0
20,46,5,1.0
20,47,13,0.2727272727272727
20,48,9,0.5555555555555556
20,49,13,0.15384615384615385
20,50,9,0.5555555555555556
20,51,9,0.4444444444444444
20,58,9,0.6666666666666666
20,59,5,0.2
20,60,13,0.3076923076923077
20,61,5,1.0
20,62,9,0.5555555555555556
20,63,13,0.38461538461538464
20,64,13,0.46153846153846156
20,65,13,0.23076923076923078
20,66,5,0.8
20,67,5,1.0
20,68,9,0.3333333333333333
20,69,9,0.4444444444444444
20,76,13,0.38461538461538464
20,77,5,1.0
20,78,9,0.4444444444444444
20,79,5,1.0
20,80,13,0.23076923076923078
20,81,13,0.23076923076923078
20,82,5,1.0
20,83,13,0.3076923076923077
20,84,9,0.5555555555555556
20,85,9,0.5555555555555556
20,86,5,0.2
20,87,9,0.4444444444444444
20,94,13,0.23076923076923078
20,95,9,0.5555555555555556
20,96,5,1.0
20,97,13,0.23076923076923078
20,98,5,0.4
20,99,13,0.3076923076923077
20,100,9,0.1111111111111111
20,101,5,1.0
20,102,5,0.6
20,103,9,0.0
20,104,13,0.15384615384615385
20,105,9,0.3333333333333333
20,112,13,0.5384615384615384
20,113,9,0.0
20,114,9,0.5555555555555556
20,115,5,0.8
20,116,5,1.0
20,117,13,0.07692307692307693
20,118,9,0.4444444444444444
20,119,13,0.3076923076923077
20,120,9,0.5555555555555556
20,121,13,0.15384615384615385
20,122,5,1.0
20,123,5,1.0
20,130,5,1.0
20,131,13,0.23076923076923078
20,132,13,0.23076923076923078
20,133,13,0.0
20,134,13,0.46153846153846156
20,135,9,0.0
20,136,5,1.0
20,137,9,0.0
20,138,9,0.4444444444444444
20,139,5,1.0
20,140,5,0.0
20,141,9,0.0
20,148,5,1.0
20,149,13,0.0
20,150,9,0.4444444444444444
20,151,13,0.0
20,152,5,1.0
20,153,9,0.4444444444444444
20,154,13,0.46153846153846156
20,155,9,0.25
20,156,5,0.6
20,157,9,0.3333333333333333
20,158,13,0.38461538461538464
20,159,5,1.0
21,4,9,0.5555555555555556
21,5,5,1.0
21,6,5,1.0
21,7,5,1.0
21,8,9,0.5555555555555556
21,9,13,0.15384615384615385
21,10,9,0.1111111111111111
21,11,13,0.1
21,12,9,0.4444444444444444
21,13,13,0.38461538461538464
21,14,5,1.0
21,15,13,0.15384615384615385
21,22,9,0.1111111111111111
21,23,9,0.3333333333333333
21,24,9,0.1111111111111111
21,25,5,1.0
21,26,5,1.0
21,27,5,1.0
21,28,13,0.23076923076923078
21,29,13,0.23076923076923078
