subject,trial,condition,accuracy,cluster,label
19,79,9,0.2222222222222222,1,과부하
19,80,13,0.3076923076923077,1,과부하
19,81,9,0.6666666666666666,0,정상
19,82,13,0.6153846153846154,1,과부하
19,83,13,0.5384615384615384,1,과부하
19,84,5,1.0,0,정상
19,85,5,1.0,0,정상
19,86,5,1.0,0,정상
19,87,9,0.8888888888888888,0,정상
19,94,5,1.0,0,정상
19,95,9,0.5555555555555556,1,과부하
19,96,13,0.1818181818181818,1,과부하
19,97,5,1.0,0,정상
19,98,13,0.0769230769230769,1,과부하
19,99,9,0.6666666666666666,0,정상
19,100,5,1.0,0,정상
19,101,13,0.5384615384615384,1,과부하
19,102,13,0.3076923076923077,1,과부하
19,103,5,1.0,0,정상
19,104,9,0.8888888888888888,0,정상
19,105,9,0.7777777777777778,0,정상
19,112,13,0.5384615384615384,1,과부하
19,113,9,1.0,0,정상
19,114,5,1.0,0,정상
19,115,5,1.0,0,정상
19,116,13,0.3076923076923077,1,과부하
19,117,5,1.0,0,정상
19,118,13,0.5384615384615384,1,과부하
19,119,9,0.7777777777777778,0,정상
19,120,13,0.3846153846153846,1,과부하
19,121,5,1.0,0,정상
19,122,9,1.0,0,정상
19,123,9,0.8888888888888888,0,정상
19,130,13,0.3076923076923077,1,과부하
19,131,5,1.0,0,정상
19,132,5,1.0,0,정상
19,133,9,0.6666666666666666,0,정상
19,134,13,0.3846153846153846,1,과부하
19,135,5,1.0,0,정상
19,136,9,0.7777777777777778,0,정상
19,137,13,0.4615384615384615,1,과부하
19,138,9,0.4444444444444444,1,과부하
19,139,13,0.6153846153846154,1,과부하
19,140,5,1.0,0,정상
19,141,9,0.625,0,정상
19,148,13,0.7692307692307693,0,정상
19,149,13,0.2307692307692307,1,과부하
19,150,13,0.3076923076923077,1,과부하
19,151,9,0.2222222222222222,1,과부하
19,152,9,0.7777777777777778,0,정상
19,153,13,0.3076923076923077,1,과부하
19,154,9,0.3333333333333333,1,과부하
19,155,5,1.0,0,정상
19,156,5,1.0,0,정상
19,157,9,0.7777777777777778,0,정상
19,158,5,1.0,0,정상
19,159,5,1.0,0,정상
20,4,5,1.0,0,정상
20,5,5,1.0,0,정상
20,6,5,1.0,0,정상
20,7,9,0.7777777777777778,0,정상
20,8,13,0.3846153846153846,1,과부하
20,9,5,1.0,0,정상
20,10,13,0.2307692307692307,1,과부하
20,11,9,0.7777777777777778,0,정상
